ID,Title,Year,Rating,IMDb,Genre,Platform
1,Terminator: Dark Fate,2019,18+,6.2,Action & Adventure,Amazon Prime Video
2,Gemini Man,2019,13+,5.7,Action & Adventure,Amazon Prime Video
3,Rambo: Last Blood,2019,18+,6.1,Action & Adventure,Amazon Prime Video
4,The Courier,2019,18+,4.9,Action & Adventure,Amazon Prime Video
5,Crawl,2019,18+,6.1,Action & Adventure,Amazon Prime Video
6,The Kill Team,2019,18+,5.9,Action & Adventure,Amazon Prime Video
7,The Rhythm Section,2020,18+,5.3,Action & Adventure,Amazon Prime Video
8,Legionnaire's Trail,2020,18+,3.1,Action & Adventure,Amazon Prime Video
9,The Avengers,2012,13+,8.0,Action & Adventure,Amazon Prime Video
10,Escape Plan: The Extractors,2019,18+,4.4,Action & Adventure,Amazon Prime Video
11,Primal,2019,18+,4.9,Action & Adventure,Amazon Prime Video
12,Danger Close,2019,18+,6.8,Action & Adventure,Amazon Prime Video
13,Kill Chain,2020,18+,5.0,Action & Adventure,Amazon Prime Video
14,Bumblebee,2018,13+,6.8,Action & Adventure,Amazon Prime Video
15,Trauma Center,2019,18+,4.4,Action & Adventure,Amazon Prime Video
16,Line of Duty,2019,18+,5.3,Action & Adventure,Amazon Prime Video
17,The Aeronauts,2019,13+,6.6,Action & Adventure,Amazon Prime Video
18,Train to Busan,2016,,7.6,Action & Adventure,Amazon Prime Video
19,Assassin 33 A.D.,2020,13+,3.5,Action & Adventure,Amazon Prime Video
20,Hacker,2019,,5.2,Action & Adventure,Amazon Prime Video
21,Hell on the Border,2019,18+,4.1,Action & Adventure,Amazon Prime Video
22,Mission: Impossible - Fallout,2018,13+,7.7,Action & Adventure,Amazon Prime Video
23,Yu-Gi-Oh!: The Dark Side of Dimensions,2016,7+,7.0,Action & Adventure,Amazon Prime Video
24,The First King,2019,18+,6.5,Action & Adventure,Amazon Prime Video
25,Escape Plan 2: Hades,2018,18+,3.9,Action & Adventure,Amazon Prime Video
26,The Last Sharknado: It's About Time,2018,16+,3.5,Action & Adventure,Amazon Prime Video
27,Along with the Gods: The Two Worlds,2017,7+,7.3,Action & Adventure,Amazon Prime Video
28,The Jurassic Games,2018,,3.8,Action & Adventure,Amazon Prime Video
29,Overlord,2018,18+,6.6,Action & Adventure,Amazon Prime Video
30,7 Guardians of the Tomb,2018,13+,4.4,Action & Adventure,Amazon Prime Video
31,Hard Night Falling,2019,18+,3.5,Action & Adventure,Amazon Prime Video
32,Iron Man 2,2010,13+,7.0,Action & Adventure,Amazon Prime Video
33,Thor,2011,13+,7.0,Action & Adventure,Amazon Prime Video
34,Asterix the Gaul,1967,all,6.6,Animation,Amazon Prime Video
35,SlugTerra: Return of the Elementals,2014,7+,6.4,Animation,Amazon Prime Video
36,Ooops! Noah is Gone...,2015,all,5.8,Animation,Amazon Prime Video
37,Shark Bait,2006,all,4.2,Animation,Amazon Prime Video
38,Love Live! The School Idol Movie,2015,,7.2,Animation,Amazon Prime Video
39,The Stolen Princess: Ruslan and Ludmila,2018,,6.1,Animation,Amazon Prime Video
40,Video Games: The Movie,2014,,6.1,Animation,Amazon Prime Video
41,Donkey X,2007,7+,4.6,Animation,Amazon Prime Video
42,Maya the Bee Movie,2014,all,5.9,Animation,Amazon Prime Video
43,Ernest & Celestine,2012,7+,7.9,Animation,Amazon Prime Video
44,Blame!,2017,13+,6.7,Animation,Amazon Prime Video
